CHORD_ROOT,CHORD_TYPE,CHORD_STRUCTURE,NOTES,Notes_list,Notes_list_string
A#,7,1;3;5;b7,"A#,C##,E#,G#","['A#', 'C##', 'E#', 'G#']","['A#', 'C##', 'E#', 'G#']"
A#,dim7,1;b3;b5;bb7,"A#,C#,E,G","['A#', 'C#', 'E', 'G']","['A#', 'C#', 'E', 'G']"
A#,+,1;3;#5,"A#,C##,E##","['A#', 'C##', 'E##']","['A#', 'C##', 'E##']"
A#,maj,1;3;5,"A#,C##,E#","['A#', 'C##', 'E#']","['A#', 'C##', 'E#']"
A#,sus2,1;2;5,"A#,B#,E#","['A#', 'B#', 'E#']","['A#', 'B#', 'E#']"
A#,add2,1;3;5;9,"A#,C##,E#,B#","['A#', 'C##', 'E#', 'B#']","['A#', 'C##', 'E#', 'B#']"
A#,m7b5,1;b3;b5;b7,"A#,C#,E,G#","['A#', 'C#', 'E', 'G#']","['A#', 'C#', 'E', 'G#']"
A#,m,1;b3;5,"A#,C#,E#","['A#', 'C#', 'E#']","['A#', 'C#', 'E#']"
A#,m7,1;b3;5;b7,"A#,C#,E#,G#","['A#', 'C#', 'E#', 'G#']","['A#', 'C#', 'E#', 'G#']"
A#,mM7,1;b3;5;7,"A#,C#,E#,G##","['A#', 'C#', 'E#', 'G##']","['A#', 'C#', 'E#', 'G##']"
A#,dim,1;b3;b5,"A#,C#,E","['A#', 'C#', 'E']","['A#', 'C#', 'E']"
A#,6,1;3;5;6,"A#,C##,E#,F##","['A#', 'C##', 'E#', 'F##']","['A#', 'C##', 'E#', 'F##']"
A#,7sus4,1;4;5;b7,"A#,D#,E#,G#","['A#', 'D#', 'E#', 'G#']","['A#', 'D#', 'E#', 'G#']"
A#,maj7,1;3;5;7,"A#,C##,E#,G##","['A#', 'C##', 'E#', 'G##']","['A#', 'C##', 'E#', 'G##']"
A#,5,1;5,"A#,E#","['A#', 'E#']","['A#', 'E#']"
A#,m6,1;b3;5;6,"A#,C#,E#,F##","['A#', 'C#', 'E#', 'F##']","['A#', 'C#', 'E#', 'F##']"
A#,sus4,1;4;5,"A#,D#,E#","['A#', 'D#', 'E#']","['A#', 'D#', 'E#']"
C#,7,1;3;5;b7,"C#,E#,G#,B","['C#', 'E#', 'G#', 'B']","['C#', 'E#', 'G#', 'B']"
C#,dim7,1;b3;b5;bb7,"C#,E,G,Bb","['C#', 'E', 'G', 'Bb']","['C#', 'E', 'G', 'Bb']"
C#,+,1;3;#5,"C#,E#,G##","['C#', 'E#', 'G##']","['C#', 'E#', 'G##']"
C#,maj,1;3;5,"C#,E#,G#","['C#', 'E#', 'G#']","['C#', 'E#', 'G#']"
C#,sus2,1;2;5,"C#,D#,G#","['C#', 'D#', 'G#']","['C#', 'D#', 'G#']"
C#,add2,1;3;5;9,"C#,E#,G#,D#","['C#', 'E#', 'G#', 'D#']","['C#', 'E#', 'G#', 'D#']"
C#,m7b5,1;b3;b5;b7,"C#,E,G,B","['C#', 'E', 'G', 'B']","['C#', 'E', 'G', 'B']"
C#,m,1;b3;5,"C#,E,G#","['C#', 'E', 'G#']","['C#', 'E', 'G#']"
C#,m7,1;b3;5;b7,"C#,E,G#,B","['C#', 'E', 'G#', 'B']","['C#', 'E', 'G#', 'B']"
C#,mM7,1;b3;5;7,"C#,E,G#,B#","['C#', 'E', 'G#', 'B#']","['C#', 'E', 'G#', 'B#']"
C#,dim,1;b3;b5,"C#,E,G","['C#', 'E', 'G']","['C#', 'E', 'G']"
C#,6,1;3;5;6,"C#,E#,G#,A#","['C#', 'E#', 'G#', 'A#']","['C#', 'E#', 'G#', 'A#']"
C#,7sus4,1;4;5;b7,"C#,F#,G#,B","['C#', 'F#', 'G#', 'B']","['C#', 'F#', 'G#', 'B']"
C#,maj7,1;3;5;7,"C#,E#,G#,B#","['C#', 'E#', 'G#', 'B#']","['C#', 'E#', 'G#', 'B#']"
C#,5,1;5,"C#,G#","['C#', 'G#']","['C#', 'G#']"
C#,m6,1;b3;5;6,"C#,E,G#,A#","['C#', 'E', 'G#', 'A#']","['C#', 'E', 'G#', 'A#']"
C#,sus4,1;4;5,"C#,F#,G#","['C#', 'F#', 'G#']","['C#', 'F#', 'G#']"
D#,7,1;3;5;b7,"D#,F##,A#,C#","['D#', 'F##', 'A#', 'C#']","['D#', 'F##', 'A#', 'C#']"
D#,dim7,1;b3;b5;bb7,"D#,F#,A,C","['D#', 'F#', 'A', 'C']","['D#', 'F#', 'A', 'C']"
D#,+,1;3;#5,"D#,F##,A##","['D#', 'F##', 'A##']","['D#', 'F##', 'A##']"
